Name,Description,Category,Type,Requirements,Numerical_Values,ID,Notes
"Wake and bake","Bake 1 cookie","Cookies Baked","Normal","Bake 1 cookie total",1,1,""
"Making some dough","Bake 1,000 cookies","Cookies Baked","Normal","Bake 1,000 cookies total",1000,2,""
"So baked right now","Bake 100,000 cookies","Cookies Baked","Normal","Bake 100,000 cookies total",100000,3,""
"Fledgling bakery","Bake 1 million cookies","Cookies Baked","Normal","Bake 1 million cookies total",1000000,4,""
"Affluent bakery","Bake 100 million cookies","Cookies Baked","Normal","Bake 100 million cookies total",100000000,5,""
"World-famous bakery","Bake 1 billion cookies","Cookies Baked","Normal","Bake 1 billion cookies total",1000000000,6,""
"Cosmic bakery","Bake 100 billion cookies","Cookies Baked","Normal","Bake 100 billion cookies total",100000000000,7,""
"Galactic bakery","Bake 1 trillion cookies","Cookies Baked","Normal","Bake 1 trillion cookies total",1000000000000,8,""
"Universal bakery","Bake 100 trillion cookies","Cookies Baked","Normal","Bake 100 trillion cookies total",100000000000000,9,""
"Timeless bakery","Bake 1 quadrillion cookies","Cookies Baked","Normal","Bake 1 quadrillion cookies total",1000000000000000,10,""
"Infinite bakery","Bake 100 quadrillion cookies","Cookies Baked","Normal","Bake 100 quadrillion cookies total",100000000000000000,11,""
"Immortal bakery","Bake 1 quintillion cookies","Cookies Baked","Normal","Bake 1 quintillion cookies total",1000000000000000000,12,""
"Don't stop me now","Bake 100 quintillion cookies","Cookies Baked","Normal","Bake 100 quintillion cookies total",100000000000000000000,13,""
"You can stop now","Bake 1 sextillion cookies","Cookies Baked","Normal","Bake 1 sextillion cookies total",1000000000000000000000,14,""
"Cookies all the way down","Bake 100 sextillion cookies","Cookies Baked","Normal","Bake 100 sextillion cookies total",100000000000000000000000,15,""
"Overdose","Bake 1 septillion cookies","Cookies Baked","Normal","Bake 1 septillion cookies total",1000000000000000000000000,16,""
"How?","Bake 100 septillion cookies","Cookies Baked","Normal","Bake 100 septillion cookies total",100000000000000000000000000,17,""
